"Subscription","Resource group","Total","NoOwner","NoCostCenter","NoEnv"
"Ulterra Azure Production","ulterracmg","7","7","7","7"
"Ulterra Azure Production","azeastdiagnostics","8","8","8","5"
"Ulterra Azure Production","azbackupvault","8","8","8","4"
"Ulterra Azure Production","azuremigrate","8","8","8","8"
"Ulterra Azure Production","rg-avd-quickstart-f88f8bad-24e6-463b-a7e4-7a997f513023","9","9","9","9"
"Ulterra Azure Production","uat-centralus-asr","9","9","9","9"
"Ulterra Azure Production","bpo_prod","9","9","9","9"
"Pay-As-You-Go Dev/Test","udtdevservers_externalaccess","9","9","9","8"
"Pay-As-You-Go Dev/Test","azwesdev","10","10","10","10"
"Ulterra Azure Production","azureeastbrs","10","10","10","10"
"Ulterra Azure Production","ult_monitoring_prod_scus","10","10","10","4"
"Ulterra Azure Production","defaultresourcegroup-weu","10","10","10","10"
"Ulterra Azure Production","azureeastdiagnostics","10","10","10","8"
"Pay-As-You-Go Dev/Test","udtdevasr_rg","12","12","12","7"
"Ulterra Azure Production","rg-avd-quickstart-ea32bef8-7866-468b-8814-5e10cd22e129","12","12","12","12"
"Visual Studio Professional Subscription","csimwebrg","13","13","13","13"
"Pay-As-You-Go Dev/Test","udtdevpalofw","14","14","14","14"
"Ulterra Azure Production","dfs-eastus-prod","15","15","15","15"
"Ulterra Azure Production","defaultresourcegroup-eus","16","16","16","16"
"Ulterra Azure Production","avd_westus2","16","16","16","16"
"Ulterra Azure Production","azcendevusrg1","17","17","17","17"
"Pay-As-You-Go Dev/Test","avdresources","18","18","18","8"
"Pay-As-You-Go Dev/Test","udtdevnetwork_rg","19","19","19","17"
"Ulterra Azure Production","azeastpten_hcm","20","20","20","20"
"Ulterra Azure Production","citrix-xd-49a7832d-f59e-43db-aed7-b132c5989cc5-7px7z","21","21","21","21"
"Ulterra Azure Production","azureeastappsrv","23","23","23","23"
"Ulterra Azure Production","azwestuswin365rg","25","25","25","15"
"Ulterra Azure Production","azsystemscenus","25","25","25","25"
"Ulterra Azure Production","azurebackuprg_centralus_1","28","28","28","28"
"Ulterra Azure Production","azcendevangular","28","28","28","28"
"Ulterra Azure Production","networkwatcherrg","29","29","29","29"
"Ulterra Azure Production","azcentest","30","30","30","30"
"Ulterra Azure Production","azuaenproduction","31","31","31","31"
"Ulterra Azure Production","azurecentralusrg1","34","34","34","33"
"Ulterra Azure Production","avd-resources","35","35","35","15"
"Ulterra Azure Production","azeusappprod_1","35","35","35","35"
"Ulterra Azure Production","azctxsrvs","35","35","35","35"
"Ulterra Azure Production","dev_ulterra_platform","37","37","37","37"
"Ulterra Azure Production","azureeastusrg1","37","37","37","31"
"Ulterra Azure Production","azureeastnonprodvms","39","39","39","38"
"Ulterra Azure Production","legacyservers","39","39","39","39"
"Ulterra Azure Production","azeastpki","43","43","43","43"
"Pay-As-You-Go Dev/Test","azurebackuprg_westus_1","46","46","46","46"
"Ulterra Azure Production","azsystemseastus","50","50","50","49"
"Ulterra Azure Production","azurecenprodvms","51","51","51","51"
"Pay-As-You-Go Dev/Test","atlassap","53","53","53","48"
"Ulterra Azure Production","azureeastitvms","73","73","73","73"
"Ulterra Azure Production","azctxclts","86","86","86","85"
"Ulterra Azure Production","azureeastprodvms","113","113","113","109"
"Ulterra Azure Production","azurebackuprg_eastus_1","139","139","139","139"
"Pay-As-You-Go Dev/Test","udtdevclients_rg","170","170","170","136"
"Pay-As-You-Go Dev/Test","udtdevservers_rg","201","201","201","180"
"Ulterra Azure Production","azeastusproduction","457","456","457","423"
